#진원시,규모,위도,경도,위치
2016-09-12 22:47,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:23,2.4,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:22,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:18,2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 22:17,2.5,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:13,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:08,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 22:06,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:54,2.2,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 21:38,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 21:33,2.3,35.76 N,129.02 E,경북 경주시 서남서쪽 20km 지역
2016-09-12 21:20,2.8,35.78 N,129.18 E,경북 경주시 남남서쪽 7km 지역
2016-09-12 21:16,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 21:09,2.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:07,2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 21:00,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:58,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:55,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:51,2.6,35.75 N,129.16 E,경북 경주시 남남서쪽 11km 지역
2016-09-12 20:47,2.9,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:47,2.2,35.81 N,129.23 E,경북 경주시 남남동쪽 3km 지역
2016-09-12 20:46,2.4,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:45,2.7,35.78 N,129.2 E,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:45,2.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:44,2.5,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:43,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:42,2.5,35.79 N,129.2 E,경북 경주시 남남서쪽 5km 지역
2016-09-12 20:41,2.1,35.62 N,129.12 E,울산 울주군 서북서쪽 19km 지역
2016-09-12 20:41,2.9,35.58 N,129.09 E,울산 울주군 서북서쪽 20km 지역
2016-09-12 20:40,3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:39,2.6,35.79 N,129.2 E,경북 경주시 남남서쪽 5km 지역
2016-09-12 20:39,3,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:38,3,35.78 N,129.2 E,경북 경주시 남남서쪽 7km 지역
2016-09-12 20:38,2.8,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
2016-09-12 20:38,2.7,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:37,2.6,35.61 N,129.11 E,울산 울주군 서북서쪽 19km 지역
2016-09-12 20:36,3.2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:36,3.4,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:34,4.3,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 20:32,5.8,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:26,2.5,35.77 N,129.2 E,경북 경주시 남쪽 8km 지역
2016-09-12 20:17,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:10,3.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:08,2.7,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:07,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 20:04,2.5,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 20:00,2.4,35.78 N,129.16 E,경북 경주시 남서쪽 8km 지역
2016-09-12 19:55,2.4,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-12 19:54,2,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:53,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:52,2,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
2016-09-12 19:51,2.1,35.77 N,129.2 E,경북 경주시 남쪽 8km 지역
2016-09-12 19:50,2.2,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:48,3.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-12 19:44,5.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-08-30 0:39,2.6,35.55 N,128.03 E,경남 합천군 서쪽 13km 지역
2016-08-28 23:27,2.3,35.64 N,127.47 E,전북 장수군 서쪽 5km 지역
2016-08-28 21:27,2.4,38.65 N,127.16 E,북한 강원 평강 북북서쪽 29km 지역
2016-08-20 18:54,2.6,33.49 N,127.3 E,제주 서귀포시 성산 동북동쪽 41km 해역
2016-08-20 12:18,3,38.38 N,128.09 E,강원 양구군 북북동쪽 32km 지역(북한지역)
2016-08-18 22:21,2.6,38.84 N,125.7 E,북한 황해북도 송림 북북동쪽 13km 지역
2016-08-18 17:08,2.1,38.18 N,125.46 E,인천 옹진군 연평도 남남서쪽 58km 해역
2016-08-17 11:17,2.7,38.38 N,128.08 E,강원 양구군 북북동쪽 31km 지역(북한지역)
2016-08-16 11:57,2,36.76 N,128.84 E,경북 안동시 북북동쪽 24km 지역
2016-07-30 1:51,2.3,33.06 N,126.33 E,제주 서귀포시 남서쪽 27km 해역
2016-07-14 22:31,2.8,35.12 N,130.24 E,울산 동구 동남동쪽 86km 해역
2016-07-13 14:13,2,36.80 N,128.53 E,경북 영주시 서쪽 9km 지역
2016-07-09 13:16,2.6,38.69 N,125.83 E,북한 황해북도 송림 동남동쪽 18km 지역
2016-07-09 4:47,2.3,35.48 N,129.97 E,울산 동구 동쪽 50km 해역
2016-07-05 21:24,2.6,35.51 N,129.87 E,울산 동구 동쪽 41km 해역
2016-07-05 20:33,5,35.51 N,129.99 E,울산 동구 동쪽 52km 해역
2016-06-25 3:24,2.6,38.74 N,125.86 E,북한 황해북도 송림 동쪽 20km 지역
2016-06-21 3:23,3.1,39.49 N,126.19 E,북한 평안남도 성천 북쪽 28km 지역
2016-06-15 2:07,2.6,35.87 N,129.69 E,경북 포항시 남구 동남동쪽 33km 해역
2016-06-13 12:33,2.7,34.30 N,124.68 E,전남 신안군 흑산면 서남서쪽 82km 해역
2016-06-07 16:06,2.3,33.05 N,126.17 E,제주 제주시 고산 남쪽 27km 해역
2016-06-05 10:11,2.2,36.00 N,129.58 E,경북 포항시 남구 동쪽 20km 해역
2016-06-03 4:53,3,36.39 N,127.92 E,경북 상주시 서쪽 22km 지역
2016-05-24 4:52,2.3,33.61 N,125.56 E,제주 제주시 고산 서북서쪽 66km 해역
2016-05-22 1:22,3.5,40.68 N,127.15 E,북한 함경남도 장진 북북서쪽 34km 지역
2016-05-12 13:37,2.5,34.69 N,126.8 E,전남 강진군 북북동쪽 6km 지역
2016-05-03 3:29,2.1,37.12 N,129.02 E,강원 태백시 남남동쪽 5km 지역
2016-04-30 22:46,2.6,37.75 N,125.4 E,북한 황해남도 옹진 남쪽 20km 지역
2016-04-28 10:16,2.6,35.42 N,128.56 E,경남 창녕군 남남동쪽 15km 지역
2016-04-27 19:27,2.3,35.57 N,128.34 E,경남 합천군 동쪽 16km 지역
2016-04-25 11:42,2.3,33.51 N,125.91 E,제주 제주시 고산 북서쪽 34km 해역
2016-04-21 15:55,2.7,33.53 N,125.89 E,제주 제주시 고산 북서쪽 36km 해역
2016-04-21 15:53,2.7,33.52 N,125.92 E,제주 제주시 고산 북서쪽 34km 해역
2016-04-13 5:28,2.1,35.92 N,127.93 E,경북 김천시 남남서쪽 28km 지역
2016-03-28 14:34,2.9,35.22 N,127.96 E,경남 진주시 서북서쪽 12km 지역
2016-03-27 18:28,3,39.17 N,125.97 E,북한 평안남도 평성 남동쪽 12km 지역
2016-03-27 14:52,2.3,35.33 N,130.04 E,울산 동구 동남동쪽 59km 해역
2016-03-15 3:38,2.4,37.59 N,129.95 E,강원 삼척시 동북동쪽 71km 해역
2016-03-15 3:00,2.7,36.31 N,128.21 E,경북 상주시 남남동쪽 12km 지역
2016-03-14 5:17,3.1,38.71 N,125.87 E,북한 황해북도 송림 동쪽 21km 지역
